10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,
271624,274803,266708,268786,273172,273978,272965,275663,274764,275160,
137535,137626,137527,138040,137527,137451,137686,137877,137907,138184,
91699,91478,91704,92013,92186,91885,91077,91037,92156,91387,
68787,68582,68585,68781,68570,68323,68851,68975,68676,68593,
54445,54538,54659,54705,54916,54702,54658,54607,54539,54839,
45270,45444,45532,45435,45281,45332,45498,45531,45853,45502,
38394,38919,38929,38795,38965,38836,38880,38881,38967,38857,
33832,34055,33881,34003,34053,34011,34085,33848,33978,34096,
30261,30220,30318,30394,30195,30285,30122,30108,30099,30008,
27312,27342,27213,27366,27186,27212,27095,27411,27198,27281,
